japan airlines,6,"""seat in Premium Economy is narrow""", (Indonesia) ,26th January 2022,Boeing 787,Business,Premium Economy,Seattle to Jakarta via Narita,January 2022,4,4,5,1,3,1,3,yes
japan airlines,2,"""avoid their Premium Economy""", (Indonesia) ,31st December 2021,Boeing 787-9,Family Leisure,Premium Economy,Jakarta to Tokyo,December 2021,1,3,1,1,5,3,2,
japan airlines,1,"""following indications by the Japanese embassy""", (Indonesia) ,19th November 2021,,Solo Leisure,Economy Class,Tokyo to Paris,July 2021,3,5,4,4,1,0,2,
japan airlines,9,"""be ever grateful to all at JAL""", (Indonesia) ,3rd October 2021,,Couple Leisure,Business Class,Jakarta to Chicago via Tokyo,September 2021,5,4,4,3,4,0,4,yes
japan airlines,9,"""Japan Airline is on top of my list""", (Indonesia) ,3rd October 2021,,Solo Leisure,Economy Class,Vancouver to Bangkok via Narita,October 2021,5,5,5,5,5,4,5,yes
japan airlines,10,"""customer service exceeded my expectations""", (Indonesia) ,3rd September 2021,,Family Leisure,Economy Class,San Francisco to Narita via Manila,September 2021,5,5,4,5,5,0,4,yes
japan airlines,9,"""very helpful and very courteous""", (Indonesia) ,3rd August 2021,,Solo Leisure,Economy Class,Los Angeles to Manila via Tokyo,July 2021,5,5,5,3,5,0,5,yes
japan airlines,10,Japan Airlines customer review, (Indonesia) ,13th June 2021,Boeing 787-8 ,Solo Leisure,Economy Class,Tokyo to Vancouver,June 2021,5,5,5,5,5,5,5,yes
japan airlines,10,"""all my expectations were overly met""", (Indonesia) ,13th June 2021,Boeing 787-8 Dreamliner,Solo Leisure,Economy Class,Manila to Tokyo,June 2021,5,5,5,5,5,5,5,yes
japan airlines,10,"""best airline I have taken so far""", (Indonesia) ,21st April 2021,Boeing 787-9,Solo Leisure,Economy Class,Dallas to Tokyo,April 2021,5,5,5,4,5,4,5,yes
japan airlines,1,"""they can't offer me anything""", (United States) ,10th April 2021,,Solo Leisure,Economy Class,Honolulu to Tokyo,April 2021,0,0,0,0,0,0,1,
japan airlines,9,"""this airline deserves a five-star review""", (United States) ,16th January 2021,Boeing 777,Solo Leisure,Economy Class,Chicago to Manila via Tokyo,December 2020,5,5,5,5,5,4,5,yes
japan airlines,9,"""Exceeded expectations""", (United States) ,28th November 2020,Boeing 777,Solo Leisure,Economy Class,Los Angeles to Tokyo Narita,November 2020,4,5,4,3,5,4,4,yes
japan airlines,7,"""one of the truly best airlines in the world""", (United States) ,24th September 2020,,Solo Leisure,Economy Class,Seattle to Singapore via Tokyo Narita,January 2020,4,5,5,4,5,0,5,yes
japan airlines,8,"""Impressed with experience""", (United States) ,2nd August 2020,Boeing 777-300,Solo Leisure,Economy Class,Bangkok to Tokyo,August 2020,5,5,4,5,4,4,5,yes
japan airlines,10,"""best airline I have traveled with""", (United States) ,22nd April 2020,,Business,Economy Class,Paris to Tokyo Haneda,February 2020,5,5,5,3,5,0,5,yes
japan airlines,1,"""processed 1 day before their policy update""", (United States) ,30th March 2020,,Family Leisure,Economy Class,Melbourne to Tokyo,March 2020,0,0,0,0,0,0,1,
japan airlines,10,"""definitely fly Japan Airlines again""", (United States) ,25th February 2020,Boeing 777,Business,Business Class,Tokyo Narita to Singapore,February 2020,5,5,5,5,5,5,5,yes
japan airlines,1,"""putting me on a Finnair flight""", (United States) ,3rd February 2020,,Solo Leisure,Economy Class,Paris to Tokyo via Helsinki,December 2019,0,0,0,0,1,0,1,
japan airlines,1,"""gave us no information""", (United States) ,1st February 2020,,Solo Leisure,Economy Class,Tokyo to Vancouver,January 2020,1,1,0,0,1,0,1,
japan airlines,2,"""served one meal and one snack"" ", (Indonesia) ,1st December 2022,,Couple Leisure,Economy Class,New York JFK to Jakarta via Tokyo Narita,November 2022,4,3,1,1,4,0,2,
japan airlines,3,"""food was a big disappointment""", (Indonesia) ,10th November 2022,Boeing 787-8,Couple Leisure,Business Class,Melbourne to Tokyo,October 2022,3,5,1,1,4,0,2,
japan airlines,9,"""was beyond my expectation""", (Indonesia) ,9th November 2022,Boeing 787,Business,Economy Class,Tokyo to Osaka,September 2022,5,5,4,4,5,5,5,yes
japan airlines,5,"""Food out of Japan is good""", (Indonesia) ,24th October 2022,Boeing 787,Business,Business Class,Sydney to Tokyo,September 2022,3,3,3,3,1,5,3,
