korean air,2,"""highly allergic to paint""", (United States) ,11th February 2019,,Couple Leisure,Economy Class,Los Angeles to Seoul,February 2019,4,4,4,4,4,1,2,
korean air,1,"""Worst international airline""", (United States) ,11th February 2019,,Solo Leisure,Economy Class,Washington to Seoul,February 2019,1,1,1,2,1,1,1,
korean air,9,"""Next trip with Korean air""", (United States) ,28th January 2019,,Couple Leisure,Economy Class,Seoul to Brisbane,January 2019,4,5,4,2,4,0,4,yes
korean air,10,"""highly recommend Korean Air""", (United States) ,23rd January 2019,,Solo Leisure,Economy Class,San Francisco to Seoul,January 2019,5,5,5,5,5,5,5,yes
korean air,1,"""the coldest airport staff""", (United States) ,14th December 2018,,Family Leisure,Economy Class,Seoul to Ho Chi Minh City,December 2018,2,2,2,0,1,0,2,
korean air,1,"""refused to even talk to me""", (United States) ,23rd November 2018,,Family Leisure,Economy Class,Seattle to Seoul,November 2018,1,1,0,1,1,1,1,
korean air,4,"""hardware was very dated""", (United States) ,23rd November 2018,Boeing 747-8i,Business,Business Class,Seoul to Kuala Lumpur,November 2018,2,2,2,2,3,0,4,
korean air,10,"""staff is efficient""", (United States) ,20th November 2018,,Solo Leisure,Economy Class,Seoul to Toronto,November 2018,4,5,5,5,5,0,5,yes
korean air,7,"""Very sterile service""", (United States) ,18th November 2018,A330-300,Solo Leisure,Business Class,Honolulu to Narita,November 2018,4,3,2,1,5,0,3,yes
korean air,8,"""Had a nice flight""", (United States) ,13th November 2018,A330-300,Business,Economy Class,Seoul to Jeju,November 2018,5,5,0,0,5,0,5,yes
korean air,1,"""flight attendants were terrible""", (Thailand) ,9th December 2017,Boeing 777-300,Solo Leisure,Business Class,Bangkok to Atlanta via Seoul,December 2017,4,1,1,1,3,0,1,
korean air,10,"""level of personalized service""", (Thailand) ,8th December 2017,,Couple Leisure,Economy Class,JeJu Island to Seoul via Degeau,December 2017,5,5,0,0,5,0,5,yes
korean air,4,"""not fly them again by choice.""", (Thailand) ,6th December 2017,A330-300,Solo Leisure,Economy Class,Bali Denpasar to Seoul Incheon,December 2017,4,2,3,5,3,0,4,
korean air,8,"""good value for money""", (Thailand) ,5th December 2017,A330 / A380,Couple Leisure,Economy Class,Bangkok to Seoul,December 2017,5,5,5,3,5,0,5,yes
korean air,9,Korean Air customer review, (Thailand) ,26th November 2017,,Family Leisure,Economy Class,Bangkok to Seoul,November 2017,4,5,4,4,4,0,4,yes
korean air,7,"""comfortable seat with ample leg space""", (Thailand) ,17th November 2017,,Solo Leisure,Economy Class,Incheon to Singapore,November 2017,5,4,3,3,3,0,4,yes
korean air,1,"""the worst that I have ever flown""", (Thailand) ,12th November 2017,A380,Business,Business Class,New York JFK to Seoul,November 2017,1,1,1,1,1,1,1,
korean air,9,"""commend the flight attendants""", (Thailand) ,17th October 2017,Boeing 747,Solo Leisure,Economy Class,Seoul to Honolulu,March 2017,4,5,5,5,3,3,5,yes
korean air,9,"""Seats still extremely spacious with leg room""", (Thailand) ,25th September 2017,Boeing 777-300ER,Solo Leisure,Economy Class,Incheon to Atlanta,September 2017,5,5,4,4,5,0,5,yes
korean air,2,"""totally unacceptable service """, (Thailand) ,20th September 2017,,Business,Economy Class,Seoul to Hanoi,September 2017,1,1,2,3,1,0,2,
korean air,3,"""appallingly slow with zero sense of urgency""", (Thailand) ,12th February 2017,,Business,Economy Class,Seoul to Bangkok,February 2017,3,2,3,3,1,0,2,
korean air,1,"""terrible customer service""", (Thailand) ,10th February 2017,,Family Leisure,Economy Class,LAX to HKT via ICN,February 2017,0,0,0,0,1,0,1,
korean air,10,"""impressed by the legroom""", (Thailand) ,3rd February 2017,A330-300 / B747-400,Solo Leisure,Economy Class,Singapore to Honolulu via Seoul,January 2017,5,5,5,5,5,5,5,yes
