singapore airlines,10,"""I have no words for the hospitality""", (India) ,8th November 2022,,Family Leisure,Business Class,Sydney to Mumbai via Singapore,November 2022,5,5,5,5,5,5,5,yes
singapore airlines,1,"""denial that it even took place""", (India) ,8th November 2022,,Family Leisure,Economy Class,Sydney to London via Singapore,August 2022,1,1,1,5,3,0,1,
singapore airlines,2,"""Last time SA for us""", (India) ,5th November 2022,,Couple Leisure,Economy Class,Bali to Singaporw,November 2022,1,1,1,0,2,0,2,
singapore airlines,9,"""Overall a very good flight""", (India) ,2nd November 2022,A350 900,Couple Leisure,Business Class,Johannesburg to Singapore,October 2022,5,5,4,3,5,3,4,yes
singapore airlines,3,"""don't provide salt and pepper""", (India) ,31st October 2022,A350-900,Couple Leisure,Economy Class,Cape Town to Manila via Singapore,October 2022,3,3,2,3,3,2,2,
singapore airlines,7,"""I was not offered a drink""", (India) ,26th October 2022,A350 / A380,Solo Leisure,Economy Class,London to Brisbane via Singapore,October 2022,5,2,2,2,1,0,5,yes
singapore airlines,1,"""cancelling our paid seats""", (India) ,25th October 2022,,Family Leisure,Economy Class,London to Singapore,August 2022,4,1,0,4,1,0,1,
singapore airlines,10,"""back with their reputation intact""", (India) ,20th October 2022,A380 / A350,Couple Leisure,Business Class,Sydney to Amsterdam via Singapore,September 2022,4,5,5,4,5,4,4,yes
singapore airlines,10,"""Still my favorite airline""", (India) ,12th October 2022,A350-900,Couple Leisure,Economy Class,Istanbul to Melbourne via Singapore,September 2022,5,5,5,5,5,5,4,yes
singapore airlines,3,"""food was terrible""", (India) ,5th October 2022,A350,Couple Leisure,Economy Class,Amsterdam to Brisbane via Singapore,September 2022,2,3,1,1,2,1,1,
singapore airlines,1,"""Very disappointed""", (United Kingdom) ,26th September 2022,,Solo Leisure,Economy Class,London to Singapore,September 2022,2,2,2,1,2,0,1,
singapore airlines,10,"""this is what a good flight should be""", (United Kingdom) ,25th September 2022,A380-800,Solo Leisure,Business Class,New York JFK to Frankfurt,September 2022,5,5,5,5,5,5,5,yes
singapore airlines,4,"""JFK check in a disaster""", (United Kingdom) ,19th September 2022,A380-800,Solo Leisure,Economy Class,New York to Frankfurt,September 2022,5,1,5,5,4,0,4,yes
singapore airlines,4,"""decline in service and product""", (United Kingdom) ,11th September 2022,A380-800,Solo Leisure,Premium Economy,Singapore to Sydney,September 2022,1,2,1,4,2,1,2,
singapore airlines,6,"""A pleasant experience""", (United Kingdom) ,10th September 2022,A350-900 / A380,Solo Leisure,Economy Class,Auckland to London via Singapore,August 2022,2,5,3,3,4,4,2,
singapore airlines,10,"""can’t say enough for their warm hospitality""", (United Kingdom) ,8th September 2022,A350,Family Leisure,Business Class,Sydney to to Singapore,September 2022,5,5,5,5,5,5,5,yes
singapore airlines,2,"""stressful end to the trip""", (United Kingdom) ,8th September 2022,,Couple Leisure,Economy Class,Rome to Melbourne,July 2022,3,4,3,5,2,0,1,
singapore airlines,2,"""extremely dated and old aircrafts""", (United Kingdom) ,6th September 2022,Boeing 777-300,Couple Leisure,Economy Class,Los Angeles to Singapore,September 2022,1,4,1,1,4,1,1,
singapore airlines,1,"""attempting to locate my luggage""", (United Kingdom) ,5th September 2022,,Family Leisure,Premium Economy,Brisbane to Cape Town via Singapore,August 2022,1,1,0,0,2,0,1,
singapore airlines,10,"""would always choose to fly with Singapore""", (United Kingdom) ,5th September 2022,A350 900,Couple Leisure,Economy Class,Adelaide to Singapore,September 2022,4,5,5,5,5,0,5,yes
singapore airlines,5,"""I am not impressed""", (Hong Kong) ,4th September 2022,A350-900,Couple Leisure,Premium Economy,San Francisco to Singapore,September 2022,3,4,2,1,2,3,2,
singapore airlines,2,"""My meal was very poor""", (Hong Kong) ,4th September 2022,A350,Business,Business Class,Sydney to Singapore,September 2022,4,4,1,1,2,4,2,
singapore airlines,1,"""requested to provide a seat together""", (Hong Kong) ,27th August 2022,,Family Leisure,Economy Class,Singapore to Melbourne,August 2022,1,1,0,0,1,0,1,
singapore airlines,1,"""all special meals has been handed out""", (Hong Kong) ,25th August 2022,,Couple Leisure,Economy Class,Denpasar to Singapore,August 2022,3,1,1,1,3,0,1,
singapore airlines,1,"""said it was Lufthansa’s fault""", (Hong Kong) ,24th August 2022,,Solo Leisure,Economy Class,Sydney to Munich via Singapore ,August 2022,1,1,0,0,1,0,1,
singapore airlines,10,"""an amazing experience""", (Hong Kong) ,21st August 2022,A350-900,Family Leisure,Business Class,Singapore to Amsterdam,August 2022,5,5,5,4,4,5,5,yes
