swiss international air lines,2,"""disappointed for their on board service""", (Malaysia) ,26th September 2022,Boeing 777-300,Business,Business Class,Singapore to Zurich,August 2022,2,1,1,2,4,0,1,
swiss international air lines,1,"""the worst customer service I have ever experienced""", (Malaysia) ,23rd September 2022,A340,Family Leisure,Economy Class,Zurich to Sao Paolo,August 2022,1,1,0,0,1,0,1,
swiss international air lines,1,"""I am so shocked by this treatment""", (Malaysia) ,22nd September 2022,,Couple Leisure,Economy Class,London to Geneva,July 2022,0,0,0,0,0,0,1,
swiss international air lines,1,"""Shocked by the lack of professionalism""", (Malaysia) ,16th September 2022,Boeing 777,Solo Leisure,Premium Economy,São Paulo to Zurich,September 2022,1,1,4,1,4,1,4,
swiss international air lines,2,"""Would not fly again with Swiss""", (Malaysia) ,15th September 2022,,Family Leisure,Business Class,Zurich to Thessaloniki,August 2022,5,3,4,0,5,0,2,
swiss international air lines,2,"""a very bad customer experience""", (Malaysia) ,14th September 2022,,Family Leisure,Economy Class,Vienna to Bordeaux,July 2022,4,4,4,4,2,0,2,
swiss international air lines,2,"""a long series of disappointments""", (Malaysia) ,11th September 2022,,Solo Leisure,Economy Class,Florence to Zurich via Genève,September 2022,3,3,0,0,3,0,2,
swiss international air lines,1,"""I am still waiting my refund""", (Malaysia) ,10th September 2022,,Solo Leisure,Economy Class,Paris to Copenhagen via Zurich,August 2022,1,1,1,1,1,1,1,
swiss international air lines,1,"""Your seat had changed""", (Malaysia) ,8th September 2022,A320,Solo Leisure,Economy Class,Zurich to London,September 2022,1,2,1,0,2,0,1,
swiss international air lines,1,"""will never fly with them again""", (Malaysia) ,5th September 2022,,Couple Leisure,Economy Class,Tel Aviv to Stuttgart via Zurich,September 2022,1,2,2,0,1,0,1,
swiss international air lines,3,"""Terrible service""", (United Kingdom) ,28th November 2022,,Family Leisure,Economy Class,Zurich to Sao Paulo,October 2022,2,2,3,2,1,0,1,
swiss international air lines,1,"""zero notion on Customer Excellence""", (United Kingdom) ,26th November 2022,,Solo Leisure,Economy Class,Newark to Porto via Zurich,November 2022,1,1,1,1,1,1,1,
swiss international air lines,5,"""outdated Business Class"" ", (United Kingdom) ,24th November 2022,,Business,Business Class,Delhi to Zurich ,November 2022,1,1,2,0,3,0,2,
swiss international air lines,4,"""no better than any low cost flight""", (United Kingdom) ,21st November 2022,A321,Family Leisure,Economy Class,Zurich to Tel Aviv,November 2022,2,3,1,1,4,1,2,
swiss international air lines,1,"""seats were shifted on the day of boarding""", (United Kingdom) ,17th November 2022,,Business,Economy Class,Singapore to Zurich,October 2022,3,3,3,3,1,0,1,
swiss international air lines,1,"""I had terrible experience""", (United Kingdom) ,16th November 2022,,Business,Economy Class,Zagreb to Valencia via Zurich,October 2022,3,3,1,1,1,1,1,
swiss international air lines,1,"""not the Swiss Air I used to know""", (United Kingdom) ,7th November 2022,,Solo Leisure,Economy Class,Zurich to Buenos Aires,October 2022,1,1,0,0,1,0,1,
swiss international air lines,8,"""service was attentive""", (United Kingdom) ,27th October 2022,A220,Solo Leisure,Business Class,Zurich to London City,October 2022,3,4,3,0,3,0,4,yes
swiss international air lines,3,"""This to me was the final straw""", (United Kingdom) ,19th October 2022,,Couple Leisure,Economy Class,Thessaloniki to Zurich,October 2022,1,1,1,1,1,1,2,
swiss international air lines,10,"""It was a nice experience""", (United Kingdom) ,18th October 2022,,Family Leisure,Economy Class,Oslo to Milan via Zurich,October 2022,5,5,4,5,5,0,5,yes
swiss international air lines,4,"""Dinner is served on one tray""", (Germany) ,14th October 2022,Boeing 777,Solo Leisure,Business Class,Sao Paulo to Amsterdam via Zurich,October 2022,3,4,3,2,2,0,3,
swiss international air lines,1,"""my 2 suitcases did not arrive""", (Germany) ,10th October 2022,,Solo Leisure,Economy Class,San Jose to Berlin via Zurich,July 2022,1,1,1,1,1,1,1,
swiss international air lines,1,"""Swiss is definitely going down""", (Germany) ,10th October 2022,A330-300,Solo Leisure,First Class,New York to Geneva ,October 2022,1,1,2,2,1,1,1,
swiss international air lines,1,"""never fly Lufthansa or Swiss Air again""", (Germany) ,7th October 2022,,Family Leisure,Economy Class,Los Angeles to Zurich,September 2022,1,1,1,1,1,1,1,
swiss international air lines,1,"""lost our baggage in Zurich""", (Germany) ,6th October 2022,,Couple Leisure,Economy Class,Denver to Amsterdam via Zurich,September 2022,1,1,1,0,1,0,1,
swiss international air lines,3,"""new low for a unjustified Premium price""", (Germany) ,6th October 2022,Boeing 777,Couple Leisure,Premium Economy,Zurich to Narita,September 2022,3,3,2,1,2,0,1,
swiss international air lines,7,"""The worst gluten free meal ever""", (Germany) ,2nd October 2022,,Couple Leisure,Economy Class,Miami to Zurich ,September 2022,2,4,1,2,4,1,4,yes
swiss international air lines,4,"""my seat was not available""", (Germany) ,2nd October 2022,,Couple Leisure,Economy Class,Geneva to London,September 2022,4,4,0,0,4,0,2,
