airline_name,overall_score,review_title,reviewer_country,review_date,aircraft_model,travel_type,seat_type,route,date_flown,seat_comfort_rating,service_rating,food_rating,entertainment_rating,groundservice_rating,wifi_rating,value_rating,recommended,year,month
air-france,3,worst baggage service I ever seen, United States ,2022-07-18,,Family Leisure,Economy Class,Dallas to Chennai via Paris,June 2022,2,1,1,0,2,0,2,0,2022,7
air-france,1,The flight attendants were nice, United States ,2022-07-17,,Solo Leisure,Economy Class,Istanbul to New York via Paris CDG,July 2022,1,2,1,1,1,0,1,0,2022,7
air-france,9,best international flight I’ve ever been on, United States ,2022-07-17,Boeing 777-300ER,Family Leisure,Business Class,Senegal to Paris,July 2022,5,5,5,4,4,5,4,1,2022,7
air-france,1,Do not use Air France if you have another option!, United States ,2022-07-16,,Family Leisure,Economy Class,Naples to Paris CDG via New York JFK,July 2022,3,5,5,5,1,0,1,0,2022,7
air-france,1,This has been a bad experience, United States ,2022-07-15,,Couple Leisure,Economy Class,Lyon to Venice via Paris,July 2022,2,3,0,0,1,0,1,0,2022,7
air-france,2,I still don't have my luggage, United States ,2022-07-14,,Business,Economy Class,Lisbon to Osaka via Paris,July 2022,1,1,1,0,1,0,1,0,2022,7
air-france,1,no information or sign of luggage, United States ,2022-07-13,,Business,Economy Class,Berlin to Cancun via Paris,July 2022,2,1,1,0,3,0,1,0,2022,7
air-france,1,will never fly with Air France again, United States ,2022-07-13,Boeing 777,Solo Leisure,Business Class,Bangkok to Newcastle via Paris,July 2022,3,1,1,1,2,0,1,0,2022,7
air-france,1,still not received my bag., United States ,2022-07-12,,Couple Leisure,Economy Class,Paris to Birmingham ,June 2022,1,1,0,0,1,0,1,0,2022,7
air-france,1,When I ask they say go to WestJet, United States ,2022-07-09,,Family Leisure,Economy Class,Nairobi to Toronto via Paris,July 2022,1,1,1,0,1,0,1,0,2022,7
air-france,1,took them over 2 months to refund, Spain ,2022-09-27,Boeing 777,Solo Leisure,Economy Class,Hamburg to Punta Cana via Paris CDG,July 2022,3,2,2,0,1,0,1,0,2022,9
air-france,10,has been improving recently, Spain ,2022-09-26,A350,Family Leisure,Economy Class,Atlanta to Paris,June 2022,5,5,5,5,5,5,5,1,2022,9
air-france,1,the staff were incredibly rude, Spain ,2022-09-23,,Solo Leisure,Economy Class,Birmingham to Paris via Budapest,April 2022,1,1,0,0,1,0,1,0,2022,9
air-france,1,still fight them for the proper compensation, Spain ,2022-09-20,,Couple Leisure,Economy Class,Milan to New York via Paris CDG,January 2022,1,1,1,1,1,1,1,0,2022,9
air-france,9,a pleasant flight, Spain ,2022-09-08,A350/E190,Family Leisure,Economy Class,Singapore to Nuremberg via Paris,September 2022,4,5,4,5,5,2,5,1,2022,9
air-france,7,Thank you Air France!, Spain ,2022-09-08,,Couple Leisure,Economy Class,Manchester to Paris via Bangaluru,September 2022,4,3,3,4,3,4,5,1,2022,9
air-france,2,it took Air France 3 days to ship my bag to me, Spain ,2022-09-07,,Business,Economy Class,Conakry to London Heathrow via Paris,September 2022,3,3,1,1,1,0,1,0,2022,9
air-france,9,this airline is really improving, Spain ,2022-09-05,Boeing 777-300,Solo Leisure,First Class,Montréal to Paris,September 2022,4,5,5,5,4,5,4,1,2022,9
air-france,1,frustrated by the utter lack of professionalism, Spain ,2022-08-30,Embraer 170,Solo Leisure,Economy Class,Paris to Zurich,August 2022,2,5,2,0,1,0,1,0,2022,8
air-france,10,impressed by the Air France flight crew, Spain ,2022-08-26,,Family Leisure,Economy Class,New York to Bangalore via Paris,August 2022,5,5,0,0,5,0,5,1,2022,8
air-france,1,It's been a fight to get my refund, Australia ,2022-08-02,,Business,Business Class,Rome to Lisbon Via Paris,June 2022,0,0,0,0,3,0,1,0,2022,8
air-france,1,All in all very disappointing, Australia ,2022-08-01,,Business,Business Class,Paris to Düsseldorf,June 2022,3,1,4,0,2,0,2,0,2022,8
air-france,1,still haven’t gotten the money back, Australia ,2022-07-26,,Solo Leisure,Economy Class,New York to Paris,June 2022,1,1,0,0,1,0,1,0,2022,7
air-france,1,they are losing luggage, Australia ,2022-07-26,,Solo Leisure,Economy Class,Zurich to Punta Cana via Paris,July 2022,1,1,3,5,1,3,1,0,2022,7
air-france,1,lost our luggage and cannot locate it, Australia ,2022-07-26,,Family Leisure,Economy Class,Paris to New York ,July 2022,1,1,1,1,1,1,1,0,2022,7
air-france,1,We were not the only people who spent the night at the airport, Australia ,2022-07-24,,Couple Leisure,Economy Class,"Washington, DC to Athens via Paris",June 2022,1,1,1,2,1,0,2,0,2022,7
air-france,10,a wonderful experience with Air France, Australia ,2022-07-24,A350-900,Solo Leisure,Economy Class,Paris CDG to Toronto,July 2022,4,5,5,5,5,5,5,1,2022,7
air-france,9,A350 Business class were exceptional, Australia ,2022-07-22,A320/A350,Couple Leisure,Business Class,Marseille to Montreal via paris,July 2022,4,5,5,4,3,3,5,1,2022,7
air-france,1,Complained 9 weeks ago, Australia ,2022-07-21,Boeing 777-300,Solo Leisure,Economy Class,Seoul to Manchester via Paris,May 2022,1,1,1,1,1,1,1,0,2022,7
air-france,7,this was a pleasant experience, Australia ,2022-07-18,A320/A321,Couple Leisure,Economy Class,London to Lisbon via Paris,June 2022,4,4,5,0,3,0,5,1,2022,7
air-france,9,"outstanding, professional", United Kingdom ,2022-11-28,A320 / Boeing 777-200,Solo Leisure,Business Class,Manchester to Bangkok via Paris ,November 2022,3,5,5,4,4,0,5,1,2022,11
air-france,10,"very professional, positive and engaging", United Kingdom ,2022-11-22,Boeing 777-200ER,Business,Economy Class,Paris to Miami,November 2022,4,5,4,5,4,5,5,1,2022,11
air-france,8,Wonderful flight, United Kingdom ,2022-11-17,Boeing 777,Solo Leisure,Business Class,Mexico City to Paris,November 2022,2,5,5,5,4,4,5,1,2022,11
air-france,8,a classic legacy carrier, United Kingdom ,2022-11-14,Boeing 777,Couple Leisure,Economy Class,Punta Cana to Paris CDG,November 2022,4,5,4,3,4,0,5,1,2022,11
air-france,2,No compensation for their error, United Kingdom ,2022-11-08,,Business,Business Class,Miami to Zanzibar via Paris,August 2022,3,2,1,1,2,1,1,0,2022,11
air-france,9,Nice short trip on time, United Kingdom ,2022-11-05,Embraer 190,Couple Leisure,Economy Class,Düsseldorf to Paris CDG,October 2022,4,5,4,0,5,0,5,1,2022,11
air-france,1,nothing has been reimbursed so far, United Kingdom ,2022-10-31,,Couple Leisure,Economy Class,Paris Orly to Pointe-à-Pitre,May 2022,2,1,2,3,1,1,1,0,2022,10
air-france,6,need to feel welcomed and pampered, United Kingdom ,2022-10-31,Boeing 777,Business,Business Class,Mauritius to Paris,October 2022,4,1,4,3,2,5,2,0,2022,10
air-france,8,Food was disappointing, United Kingdom ,2022-10-25,A350,Family Leisure,Premium Economy,Paris to Dubai,October 2022,5,5,1,0,4,5,5,1,2022,10
air-france,2,wouldn't have internet for the flight, United Kingdom ,2022-10-23,,Couple Leisure,Business Class,Paris to Chicago,October 2022,3,2,1,1,2,0,1,0,2022,10
air-france,1,reimbursed us for 15% of the value, United States ,2022-10-22,,Couple Leisure,Economy Class,Paris to Los Angeles,September 2022,3,3,2,3,1,0,2,0,2022,10
